"JHR","Johor"                                       // Wednesday, 13 April 2022 
"KDH","Kedah"                                       // Wednesday, 13 April 2022 
"KTN","Kelantan"                                    // Wednesday, 13 April 2022 
"KUL","Wilayah Persekutuan Kuala Lumpur"            // Wednesday, 13 April 2022 
"LBN","Wilayah Persekutuan Labuan"                  // Wednesday, 13 April 2022 
"MLK","Melaka"                                      // Wednesday, 13 April 2022 
"NSN","Negeri Sembilan"                             // Wednesday, 13 April 2022 
"PHG","Pahang"                                      // Wednesday, 13 April 2022 
"PJY","Wilayah Persekutuan Putra Jaya"              // Wednesday, 13 April 2022 
"PLS","Perlis"                                      // Wednesday, 13 April 2022 
"PNG","Pulau Pinang"                                // Wednesday, 13 April 2022 
"PRK","Perak"                                       // Wednesday, 13 April 2022 
"SBH","Sabah"                                       // Wednesday, 13 April 2022 
"SGR","Selangor"                                    // Wednesday, 13 April 2022 
"SRW","Sarawak"                                     // Wednesday, 13 April 2022 
"TRG","Terengganu"                                  // Wednesday, 13 April 2022 
